2023-12-24 21:42:45.300 ,91282CJL6,100-170,0-002,
2023-12-24 21:44:35.695 ,91282CJL6,99-000,0-002,
2023-12-24 21:45:02.338 ,91282CJL6,99-000,0-002,
2023-12-24 21:56:51.630 ,91282CJL6,99-000,0-002,
2023-12-24 22:23:40.789 ,91282CJL6,99-000,0-002,
2023-12-24 22:28:14.709 ,91282CJL6,99-000,0-002,
2023-12-24 22:29:00.300 ,91282CJP7,100-263,0-00+,
2024-12-17 15:39:58.329 ,91282CJL6,99-000,0-002,
2024-12-17 15:40:17.395 ,91282CJL6,99-000,0-002,
2024-12-17 15:50:23.302 ,91282CJL6,99-000,0-002,
2024-12-17 15:50:37.943 ,91282CJL6,99-000,0-002,
2024-12-21 01:23:01.479 ,91282CJL6,99-000,0-002,
